id,sort_date,date_label,category,tags,statement,source_label,source_url,evidence,status
exam-stop-2010,2010-10-01,2010,社務,社務|教學|活動,期中考週停練一週，期末成果發表曲目仍開放投稿。,公開團練公告,https://groups.google.com/g/nctu.club.harmonica/c/JZ9rbwVBycY,A2,
quartet-old-bell-2011,2011-01-01,2011,曲目,曲目|演出|四重奏,〈古老的大鐘〉列為成果發表四重奏曲目。,公開曲目公告,https://groups.google.com/g/nctu.club.harmonica/c/L93swU8-Xv8/m/3hG1z2JcLiwJ,A2,
sirius-welcome-2011,2011-09-18,2011/09/18,演出,演出|跨校|迎新,迎新演出邀請天狼星口琴樂團演出。,公開迎新海報,https://webptt.com/m.aspx?n=bbs%2FNCTU_HARCLUB%2FM.1315154912.A.08E.html,A2,
tangyuan-booth-2011,2011-12-05,2011/12/05,活動,活動|社群|彩蛋,校運會規劃「湯圓＋小口琴」攤位。,校運會擺攤,https://groups.google.com/g/nctu.club.harmonica/c/lzOHJlEmo20,A2,
concert-clothing-2011,2011-12-26,2011/12/26,演出,演出|社務|彩蛋,成果發表要求白襯衫、黑長褲並提醒場地禁食飲。,成發公告,https://groups.google.com/g/nctu.club.harmonica/c/X7IbT5nzNCs,A2｜待核,
rehearsal-order-2011,2011-12-28,2011/12/28,演出,演出|曲目|彩排,公開彩排表列出〈Day of the River〉、〈卡農〉、〈強納森〉等曲目。,成發彩排時間,https://groups.google.com/g/nctu.club.harmonica/c/gbKT2-g3C1c,A2,
election-handover-2012,2012-05-22,2012/05/22,制度化,制度|社務|幹部,選出下一屆幹部，並安排選後補驗曲。,選幹公告,https://groups.google.com/g/nctu.club.harmonica/c/426qb6uPr7U,A2,
stage-logistics-2012,2012-05-25,2012/05/25,演出,演出|社務|幕後,大合奏器材集中在右舞台側，以配合左側進出動線。,座位表公告,https://groups.google.com/g/nctu.club.harmonica/c/t_CfOOXk-h8,A2,
joint-curation-2012,2012-05-27,2012/05/27,演出,演出|跨校|社務,規劃交大清大聯合發表的曲風、編制與換台安排。,聯合發表版本,https://groups.google.com/g/nctu.club.harmonica/c/FK1Gzyq4Od8/m/0hfnl6FxE_MJ,A2｜待核,
result-101-2013-ensemble,2013-01-01,2012–2013,比賽,比賽|成績,合奏獲 89.1 分。,官方團體組頁,https://web.arte.gov.tw/music/history/list3_group.asp?NO_count=61&id=315&ye=101,A1＋A2,
result-101-2013-quartet,2013-01-01,2012–2013,比賽,比賽|成績|四重奏,四重奏獲 89.5 分。,官方團體組頁,https://web.arte.gov.tw/music/history/list3_group.asp?NO_count=61&id=315&ye=101,A1＋A2,
mystery-music-class-2013,2013-03-12,2013/03/12,教學,教學|活動|人物,第一次社課由黃啟書指導。,公開相簿,https://www.facebook.com/media/set/?set=a.193779240746401&type=3,A1*｜待核,
campus-girl2-2013,2013-04-30,2013/04/30,演出,演出|活動|招生,以校園表演推廣口琴。,公開相簿,https://www.facebook.com/media/set/?set=a.199084866882505&type=3,A1*｜待核,
gong-show-2013,2013-06-09,2013/06/09,演出,演出|社史|成果展,舉辦成果發表會「簧孔」。,公開 BBS 公告,https://groups.google.com/g/nctu.club.harmonica/c/VgomGbI9uOI,A2,
handover-2013,2013-06-21,2013/06/21,制度化,制度|社務|幹部,舉行期末社員大會與幹部交接。,公開相簿,https://www.facebook.com/media/set/?set=a.205442762913382&type=3,A1*｜待核,
fengqin-show-2013,2013-12-29,2013/12/29,演出,演出|跨校|友情演出,舉辦「風琴萬種」，並邀請頭殼口琴樂團友情演出。,公開相簿,https://www.facebook.com/media/set/?set=a.228088327315492&type=3,A1*｜待核,
result-102-2014-ensemble,2014-03-07,2013–2014,比賽,比賽|成績|曲目,合奏獲 89.66 分優等。,官方成績查詢,https://web.arte.gov.tw/point/index.asp?Action=View&GRPNO=IA10&AREA=%E5%8C%97%E5%8D%80&sYear=102&SelectMenu=1&RaceNo=2,A1＋A1*,
result-102-2014-quartet,2014-03-07,2013–2014,比賽,比賽|成績|四重奏,四重奏獲 86.6 分優等。,官方成績查詢,https://web.arte.gov.tw/point/index.asp?Action=View&GRPNO=IA10&AREA=%E5%8C%97%E5%8D%80&sYear=102&SelectMenu=1&RaceNo=2,A1＋A1*,
school-trip-2014,2014-04-26,2014/04/26–04/27,活動,活動|社群|相簿,舉辦台南社遊。,公開相簿,https://www.facebook.com/media/set/?set=a.242319809225677&type=3,A1*｜待核,
outdoor-performance-2014,2014-05-14,2014/05/14,演出,演出|活動|校園,舉辦期中戶外表演。,公開相簿,https://www.facebook.com/media/set/?set=a.245302128927445&type=3,A1*｜待核,
qingjiao-show-2014,2014-12-24,2014/12/24,演出,演出|跨校|成果展,舉辦清交聯合成果展。,公開相簿,https://www.facebook.com/media/set/?set=a.285266824930975&type=3,A1*｜待核,
freshman-first-performance-2014,2014-12-24,2014/12/24,演出,演出|跨校|新生,新生團於清交聯合成果展首吹。,公開相簿,https://www.facebook.com/media/set/?set=a.285266824930975&type=3,A1*｜待核,
sendoff-2015,2015-06-01,2015,社史,社史|社群|人物,送舊心得將 04 級稱為「竹韻奇蹟的那一年」。,公開送舊心得,https://groups.google.com/g/nctu.club.harmonica/c/__nRUPsgUQc/m/bzWqTLYMWlAJ,A2,
year-end-2015,2015-12-20,2015/12/20,演出,演出|相簿|成果展,舉辦「琴藝相挺」期末成果發表。,Facebook 相片,https://www.facebook.com/nycubmhc/photos/,A1,
mosfet-2016,2016-01-01,2016,跨校,跨校|比賽|團體|彩蛋,MOSFET 組團代表竹韻參加全國學生音樂比賽。,2016 節目本 PDF,https://mx.nthu.edu.tw/~ymchen/sirius/pic/2016star.pdf,A2,
result-104-2016-ensemble,2016-01-01,2015–2016,比賽,比賽|成績,合奏獲 91.2 分特優。,官方歷屆成績,https://web.arte.gov.tw/point/index.asp?Action=View&GRPNO=IA10&AREA=%E5%8C%97%E5%8D%80&sYear=104&SelectMenu=1&RaceNo=2,A1,
result-104-2016-quartet,2016-01-01,2015–2016,比賽,比賽|成績|四重奏,四重奏獲 89.2 分優等。,官方歷屆成績,https://web.arte.gov.tw/point/index.asp?Action=View&GRPNO=IA10&AREA=%E5%8C%97%E5%8D%80&sYear=104&SelectMenu=1&RaceNo=2,A1,
mini-camp-2016,2016-10-15,2016/10/15,活動,活動|教學|相簿,舉辦小口琴營。,Facebook 相片,https://www.facebook.com/nycubmhc/photos/,A1,
result-105-2017-ensemble,2017-01-01,2016–2017,比賽,比賽|成績,合奏獲 91.2 分特優。,官方歷屆成績,https://web.arte.gov.tw/point/index.asp?Action=View&GRPNO=IA10&AREA=%E5%8C%97%E5%8D%80&sYear=105&SelectMenu=1&RaceNo=2,A1,
result-105-2017-quartet,2017-01-01,2016–2017,比賽,比賽|成績|四重奏,四重奏獲 87.46 分優等。,官方歷屆成績,https://web.arte.gov.tw/point/index.asp?Action=View&GRPNO=IA10&AREA=%E5%8C%97%E5%8D%80&sYear=105&SelectMenu=1&RaceNo=2,A1,
portal-first-class-2018,2018-09-01,2018,教學,教學|制度化|校方,第一堂社課教授口琴構造與基本樂理。,Club Portal,https://clubportal.nycu.edu.tw/club/view/info/707F176D-0D22-416D-9610-423FFF19415B/outside,A1*,
portal-chromatic-group-buy-2018,2018-09-01,2018,社務,社務|器材|校方,公告半音階口琴團購。,Club Portal,https://clubportal.nycu.edu.tw/club/view/info/707F176D-0D22-416D-9610-423FFF19415B/outside,A1*,
portal-camp-adjust-2018,2018-10-21,2018/10/21,教學,教學|活動|社務,小口琴營調整為一般社課。,Club Portal,https://clubportal.nycu.edu.tw/club/view/info/707F176D-0D22-416D-9610-423FFF19415B/outside,A1*,
portal-joint-show-2018,2018-12-23,2018/12/23,演出,演出|跨校|校方,舉辦交清口琴期末發表。,Club Portal,https://clubportal.nycu.edu.tw/club/view/info/707F176D-0D22-416D-9610-423FFF19415B/outside,A1*,
portal-restart-2019,2019-03-01,2019 年春季,教學,教學|制度化|校方,重新開課。,Club Portal,https://clubportal.nycu.edu.tw/club/view/info/707F176D-0D22-416D-9610-423FFF19415B/outside,A1*,
ig-start-2026,2026-05-15,2026/05/15 前後,社群,社群|復社|網站,建立 Instagram 帳號，作為同步記錄社團生活的公開入口。,Facebook 公開貼文,https://www.facebook.com/photo.php?fbid=1591468102978734&set=pb.100063466797202.-2207520000&type=3,A1*｜待核,
revival-announcement-2026,2026-06-25,2026/06/25–06/26,復社,復社|社群|招生,公開宣布成功復社。,Facebook 公開貼文,https://www.facebook.com/photo.php?fbid=1631868958938648&set=pb.100063466797202.-2207520000&type=3,A1*｜待核,
discord-launch-2026,2026-07-04,2026/07/04,社群,社群|制度化|跨世代,Discord 上線，提供社團消息與曲目討論。,Facebook 公開貼文,https://www.facebook.com/photo.php?fbid=1641263307999213&set=pb.100063466797202.-2207520000&type=3,A1*｜待核,
revival-tea-2026,2026-08-09,2026/08/09,活動,活動|復社|演出,舉辦復社茶會，安排口琴演出與社史交流。,官方 Instagram 貼文,https://www.instagram.com/nycu_harmonica/p/DbLX1c9lGv9/,A1*,
club-expo-stall-2026,2026-09-09,2026/09/09,活動,活動|招生,於交大校區社團博覽會擺攤。,公開活動行事曆,https://calendar.google.com/calendar/embed?src=bmhc1968%40gmail.com&ctz=Asia%2FTaipei&hl=zh_TW&mode=AGENDA,A1*,
club-expo-performance-2026,2026-09-09,2026/09/09,演出,演出|招生,於交大校區社團博覽會快閃表演。,公開活動行事曆,https://calendar.google.com/calendar/embed?src=bmhc1968%40gmail.com&ctz=Asia%2FTaipei&hl=zh_TW&mode=AGENDA,A1*,
early-roster-1967,1967-01-01,民國 56 年下學期（1967）,社史,社史|檔案|待核,現存會員名冊顯示，交大口琴社在民國 56 年下學期已留下社員制度與活動紀錄；名冊約記 46 人，個人名單不公開。,Hermes 社史整理（2026/08/12）,https://harmonica.nycu.club/chronology/#history-evidence,A2｜待核,
early-space-1968,1968-01-01,民國 56–57 年（1967–1968）,社務,社史|社務|器材|待核,早期活動主要在竹銘館教室進行，尚未有固定社團空間；社員自備小口琴，校方另有低音與半音階口琴等器材支援。,Hermes 社史整理（2026/08/12）,https://harmonica.nycu.club/chronology/#history-evidence,A2｜待核,
history-gap-1968-1979,1979-01-01,民國 57–66 年後（史料斷層）,檔案,社史|檔案|待核,社史提醒創社至民國 66 年間資料幾乎空白、民國 67–69 年多為會議紀錄；這段斷層正是今日應固定留下活動紀錄的原因。,Hermes 社史整理（2026/08/12）,https://harmonica.nycu.club/chronology/#history-evidence,A2｜待核,
reassembly-1980,1980-01-01,民國 69 年左右（1980）,社史,社史|教學|合奏|待核,分散在交大的口琴社成員重新集合，開始固定練習合奏，社團逐漸活絡。,Hermes 社史整理（2026/08/12）,https://harmonica.nycu.club/chronology/#history-evidence,A2｜待核,
first-camp-1981,1981-01-01,民國 70 年（1981）,活動,活動|營隊|跨校|待核,舉辦第一屆口琴營；寒暑假營隊此後逐漸成為社團固定傳統，合作細節仍待逐頁核對。,Hermes 社史整理（2026/08/12）,https://harmonica.nycu.club/chronology/#history-evidence,A2｜待核,
inter-school-show-1982,1982-01-01,民國 71 年（1982）,演出,演出|跨校|社史|待核,出現校際觀摩演奏與聯合演出；早期曲目線索包括《戰地黎歌》與《波斯市場》。,Hermes 社史整理（2026/08/12）,https://harmonica.nycu.club/chronology/#history-evidence,A2｜待核,
competition-1989,1989-01-01,民國 78 年（1989）,比賽,比賽|社史|待核,社史記載全國性音樂比賽獲得優等。,Hermes 社史整理（2026/08/12）,https://harmonica.nycu.club/chronology/#history-evidence,A2｜待核,
competition-1996,1996-01-01,民國 85 年（1996）,比賽,比賽|社史|待核,社刊記載於全國大專口琴合奏比賽獲優等名次；不同頁面分別記為第二名與第三名，名次待原始成績資料複核。,Hermes 社史整理（2026/08/12）,https://harmonica.nycu.club/chronology/#history-evidence,A2｜待核,
annual-cycle-1996,1996-01-01,1996 年社刊,社務,社務|營隊|比賽|跨校|社群|待核,社刊記錄寒假營、全國比賽、校慶音樂會、期末成果展、暑期營、迎新、國際音樂節與跨校交流等年度節奏；完整活動名稱與日期仍待核對。,Hermes 社史整理（2026/08/12）,https://harmonica.nycu.club/chronology/#history-evidence,A2｜待核,
